KEYMAP_FILE_NAME	ACTION_ID	STROKE_NO	KB_SHORTCUT
$default.xml	$Copy	1	CONTROL C
$default.xml	$Copy	1	CONTROL INSERT
$default.xml	$Cut	1	CONTROL X
$default.xml	$Cut	1	SHIFT DELETE
$default.xml	$Delete	1	DELETE
$default.xml	$Paste	1	CONTROL V
$default.xml	$Paste	1	SHIFT INSERT
$default.xml	$Redo	1	CONTROL SHIFT Z
$default.xml	$Redo	1	ALT SHIFT BACK_SPACE
$default.xml	$SelectAll	1	CONTROL A
$default.xml	$Undo	1	CONTROL Z
$default.xml	$Undo	1	ALT BACK_SPACE
$default.xml	ActivateBookmarksToolWindow	1	ALT 2
$default.xml	ActivateCommitToolWindow	1	ALT 0
$default.xml	ActivateDebugToolWindow	1	ALT 5
$default.xml	ActivateFindToolWindow	1	ALT 3
$default.xml	ActivateNuGetToolWindow	1	ALT SHIFT 7
$default.xml	ActivateProblemsViewToolWindow	1	ALT 6
$default.xml	ActivateProjectToolWindow	1	ALT 1
$default.xml	ActivateRunToolWindow	1	ALT 4
$default.xml	ActivateServicesToolWindow	1	ALT 8
$default.xml	ActivateStructureToolWindow	1	ALT 7
$default.xml	ActivateTerminalToolWindow	1	ALT F12
$default.xml	ActivateUnitTestsToolWindow	1	ALT SHIFT 8
$default.xml	ActivateVersionControlToolWindow	1	ALT 9
$default.xml	AutoIndentLines	1	CONTROL ALT I
$default.xml	Back	1	CONTROL ALT LEFT
$default.xml	BraceOrQuoteOut	1	TAB
$default.xml	CallHierarchy	1	CONTROL ALT H
$default.xml	ChangeSignature	1	CONTROL F6
$default.xml	ChangesView.GroupBy.Directory	1	CONTROL ALT P
$default.xml	ChangesView.GroupBy.Module	1	CONTROL ALT M
$default.xml	ChangesView.Move	1	ALT SHIFT M
$default.xml	ChangesView.Rename	1	F2
$default.xml	ChangesView.Rename	1	SHIFT F6
$default.xml	ChangesView.Revert	1	CONTROL ALT Z
$default.xml	ChangesView.SetDefault	1	CONTROL SPACE
$default.xml	ChangeTypeSignature	1	CONTROL SHIFT F6
$default.xml	ChooseDebugConfiguration	1	ALT SHIFT F9
$default.xml	ChooseRunConfiguration	1	ALT SHIFT F10
$default.xml	ClassNameCompletion	1	CONTROL ALT SPACE
$default.xml	CloseActiveTab	1	CONTROL SHIFT F4
$default.xml	CloseContent	1	CONTROL F4
$default.xml	CloseGotItTooltip	1	ESCAPE
$default.xml	CodeCompletion	1	CONTROL SPACE
$default.xml	CodeInspection.OnEditor	1	ALT SHIFT I
$default.xml	CollapseAll	1	CONTROL SUBTRACT
$default.xml	CollapseAll	1	CONTROL MINUS
$default.xml	CollapseAllRegions	1	CONTROL SHIFT SUBTRACT
$default.xml	CollapseAllRegions	1	CONTROL SHIFT MINUS
$default.xml	CollapseBlock	1	CONTROL SHIFT PERIOD
$default.xml	CollapseExpandableComponent	1	SHIFT ENTER
$default.xml	CollapseExpandableComponent	1	CONTROL SUBTRACT
$default.xml	CollapseExpandableComponent	1	CONTROL MINUS
$default.xml	CollapseRegion	1	CONTROL SUBTRACT
$default.xml	CollapseRegion	1	CONTROL MINUS
$default.xml	CollapseRegionRecursively	1	CONTROL ALT SUBTRACT
$default.xml	CollapseRegionRecursively	1	CONTROL ALT MINUS
$default.xml	CollapseSelection	1	CONTROL PERIOD
$default.xml	CollapseTreeNode	1	SUBTRACT
$default.xml	CommentByBlockComment	1	CONTROL SHIFT SLASH
$default.xml	CommentByBlockComment	1	CONTROL SHIFT DIVIDE
$default.xml	CommentByLineComment	1	CONTROL SLASH
$default.xml	CommentByLineComment	1	CONTROL DIVIDE
$default.xml	CompareTwoFiles	1	CONTROL D
$default.xml	Compile	1	CONTROL SHIFT F9
$default.xml	CompileDirty	1	CONTROL F9
$default.xml	Console.Execute	1	ENTER
$default.xml	Console.Execute.Multiline	1	CONTROL ENTER
$default.xml	Console.History.Browse	1	CONTROL ALT E
$default.xml	Console.Open	1	CONTROL SHIFT F10
$default.xml	ContextHelp	1	F1
$default.xml	CopyElement	1	F5
$default.xml	CopyPaths	1	CONTROL SHIFT C
$default.xml	CopyReference	1	CONTROL ALT SHIFT C
$default.xml	Debug	1	SHIFT F9
$default.xml	Diff.ApplyLeftSide	1	CONTROL ALT R
$default.xml	Diff.ApplyRightSide	1	CONTROL ALT A
$default.xml	Diff.FocusOppositePane	1	CONTROL SHIFT TAB
$default.xml	Diff.NextChange	1	ALT SHIFT RIGHT
$default.xml	Diff.PrevChange	1	ALT SHIFT LEFT
$default.xml	Diff.ShowDiff	1	CONTROL D
$default.xml	Diff.ShowSettingsPopup	1	CONTROL SHIFT D
$default.xml	DirDiffMenu.SynchronizeDiff	1	ENTER
$default.xml	DirDiffMenu.SynchronizeDiff.All	1	CONTROL ENTER
$default.xml	DumpLookupElementWeights	1	CONTROL ALT SHIFT W
$default.xml	DuplicatesForm.SendToLeft	1	CONTROL 1
$default.xml	DuplicatesForm.SendToRight	1	CONTROL 2
$default.xml	EditBreakpoint	1	CONTROL SHIFT F8
$default.xml	EditorAddCaretPerSelectedLine	1	SHIFT ALT G
$default.xml	EditorBackSpace	1	BACK_SPACE
$default.xml	EditorBackSpace	1	SHIFT BACK_SPACE
$default.xml	EditorChooseLookupItem	1	ENTER
$default.xml	EditorChooseLookupItemDot	1	CONTROL PERIOD
$default.xml	EditorChooseLookupItemReplace	1	TAB
$default.xml	EditorCodeBlockEnd	1	CONTROL CLOSE_BRACKET
$default.xml	EditorCodeBlockEndWithSelection	1	CONTROL SHIFT CLOSE_BRACKET
$default.xml	EditorCodeBlockStart	1	CONTROL OPEN_BRACKET
$default.xml	EditorCodeBlockStartWithSelection	1	CONTROL SHIFT OPEN_BRACKET
$default.xml	EditorCompleteStatement	1	CONTROL SHIFT ENTER
$default.xml	EditorContextInfo	1	ALT Q
$default.xml	EditorDecreaseFontSizeGlobal	1	ALT SHIFT COMMA
$default.xml	EditorDeleteLine	1	CONTROL Y
$default.xml	EditorDeleteToWordEnd	1	CONTROL DELETE
$default.xml	EditorDeleteToWordStart	1	CONTROL BACK_SPACE
$default.xml	EditorDown	1	DOWN
$default.xml	EditorDownWithSelection	1	SHIFT DOWN
$default.xml	EditorDuplicate	1	CONTROL D
$default.xml	EditorEnter	1	ENTER
$default.xml	EditorEscape	1	ESCAPE
$default.xml	EditorFocusGutter	1	ALT SHIFT 6
$default.xml	EditorFocusGutter	2	F
$default.xml	EditorIncreaseFontSizeGlobal	1	ALT SHIFT PERIOD
$default.xml	EditorIndentSelection	1	TAB
$default.xml	EditorJoinLines	1	CONTROL SHIFT J
$default.xml	EditorLeft	1	LEFT
$default.xml	EditorLeftWithSelection	1	SHIFT LEFT
$default.xml	EditorLineEnd	1	END
$default.xml	EditorLineEndWithSelection	1	SHIFT END
$default.xml	EditorLineStart	1	HOME
$default.xml	EditorLineStartWithSelection	1	SHIFT HOME
$default.xml	EditorLookupDown	1	CONTROL DOWN
$default.xml	EditorLookupUp	1	CONTROL UP
$default.xml	EditorMatchBrace	1	CONTROL SHIFT M
$default.xml	EditorMoveToPageBottom	1	CONTROL PAGE_DOWN
$default.xml	EditorMoveToPageBottomWithSelection	1	CONTROL SHIFT PAGE_DOWN
$default.xml	EditorMoveToPageTop	1	CONTROL PAGE_UP
